ID,label,text,label_num
4501,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
4502,ham,Subject: Chúng tôi đã cập nhật thông tin về bệnh viện trên trang web.,1
4503,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
4504,spam,Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!,0
4505,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
4506,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
4507,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
4508,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
4509,ham,Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.,1
4510,spam,Subject: Bạn đã trúng thưởng iPhone 14! Nhấn vào đây để nhận ngay.,0
4511,ham,Subject: Đừng bỏ lỡ khóa học trực tuyến miễn phí về lập trình!,1
4512,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
4513,ham,Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.,1
4514,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
4515,spam,Subject: Cơ hội duy nhất: Mở tài khoản miễn phí và nhận quà!,0
4516,spam,Subject: Nhấn vào đây để biết bí quyết trẻ hóa da từ thiên nhiên!,0
4517,ham,Subject: Tài liệu học tập đã được cập nhật trên trang web.,1
4518,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
4519,spam,Subject: Mua thuốc giảm cân với giá chỉ 99k!,0
4520,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
4521,spam,Subject: Khóa học miễn phí về cách kiếm tiền online!,0
4522,ham,Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.,1
4523,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4524,spam,Subject: Cơ hội duy nhất: Mở tài khoản miễn phí và nhận quà!,0
4525,ham,Subject: Đừng bỏ lỡ khóa học trực tuyến miễn phí về lập trình!,1
4526,ham,Subject: Chúng tôi đã gửi chứng nhận hoàn thành khóa học cho bạn.,1
4527,spam,Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!,0
4528,spam,Subject: Nhấn vào đây để nhận thẻ tín dụng miễn phí!,0
4529,ham,Subject: Chúng tôi đã cập nhật các bài hát mới nhất trên ứng dụng!,1
4530,spam,Subject: Nhấn vào đây để nhận thông tin về thuốc tăng cường sinh lý!,0
4531,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
4532,spam,Subject: Cơ hội duy nhất: Mở tài khoản miễn phí và nhận quà!,0
4533,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
4534,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4535,ham,Subject: Cảm ơn bạn đã tham gia vào chương trình sự kiện giải trí!,1
4536,ham,Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!,1
4537,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4538,spam,Subject: Chúng tôi tặng bạn 100 triệu đồng khi mở tài khoản mới!,0
4539,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4540,spam,Subject: Bạn có thể học bất kỳ kỹ năng nào chỉ trong 7 ngày!,0
4541,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4542,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
4543,ham,Subject: Chúng tôi đã cập nhật thông tin về bệnh viện trên trang web.,1
4544,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4545,spam,Subject: Chúng tôi tặng bạn 100 triệu đồng khi mở tài khoản mới!,0
4546,spam,Subject: Bạn có thể học bất kỳ kỹ năng nào chỉ trong 7 ngày!,0
4547,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
4548,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
4549,spam,Subject: Cảm giác tuyệt vời khi có tiền trong tài khoản chỉ với 30 phút!,0
4550,ham,"Subject: Chào bạn, đơn hàng của bạn đã được giao thành công!",1
4551,spam,Subject: Đừng bỏ lỡ: Chương trình học bổng 100%!,0
4552,ham,Subject: Cảm ơn bạn đã tham gia chương trình sức khỏe của chúng tôi.,1
4553,ham,Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!,1
4554,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4555,ham,Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.,1
4556,spam,Subject: Cơ hội trở thành chuyên gia trong một tháng!,0
4557,spam,Subject: Mua thuốc giảm cân với giá chỉ 99k!,0
4558,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4559,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4560,ham,Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!,1
4561,spam,Subject: Bạn đã trúng thưởng iPhone 14! Nhấn vào đây để nhận ngay.,0
4562,spam,Subject: Bạn có muốn trở nên khỏe mạnh hơn mà không cần tập luyện?,0
4563,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4564,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
4565,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
4566,ham,Subject: Đừng quên xem bộ phim mới ra mắt vào cuối tuần này!,1
4567,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
4568,spam,Subject: Bạn có thể giảm cân nhanh chóng với sản phẩm này!,0
4569,ham,Subject: Đừng bỏ lỡ khóa học trực tuyến miễn phí về lập trình!,1
4570,ham,Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!,1
4571,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
4572,spam,Subject: Cơ hội duy nhất: Mở tài khoản miễn phí và nhận quà!,0
4573,ham,Subject: Chúng tôi đã cập nhật thông tin về bệnh viện trên trang web.,1
4574,spam,Subject: Chúng tôi tặng bạn 100 triệu đồng khi mở tài khoản mới!,0
4575,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
4576,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
4577,spam,Subject: Chúng tôi tặng bạn 100 triệu đồng khi mở tài khoản mới!,0
4578,ham,Subject: Tài liệu học tập đã được cập nhật trên trang web.,1
4579,spam,Subject: Cơ hội trở thành chuyên gia trong một tháng!,0
4580,spam,Subject: Nhấn vào đây để nhận thông tin về thuốc tăng cường sinh lý!,0
4581,ham,Subject: Giảm giá 20% cho lần mua sắm tiếp theo của bạn!,1
4582,spam,Subject: Khóa học miễn phí về cách kiếm tiền online!,0
4583,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
4584,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền nhanh chóng từ nhà!,0
4585,spam,Subject: Bạn đã trúng giải 1 triệu đồng! Nhấn vào đây để nhận!,0
4586,spam,Subject: Cảm giác tuyệt vời khi có tiền trong tài khoản chỉ với 30 phút!,0
4587,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
4588,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
4589,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
4590,spam,Subject: Bạn có muốn trở nên khỏe mạnh hơn mà không cần tập luyện?,0
4591,ham,Subject: Hãy theo dõi sức khỏe của bạn với ứng dụng sức khỏe.,1
4592,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
4593,spam,Subject: Nhận ngay tài liệu miễn phí cho kỳ thi sắp tới!,0
4594,spam,Subject: Nhấn vào đây để nhận thẻ tín dụng miễn phí!,0
4595,spam,Subject: Khóa học miễn phí về cách kiếm tiền online!,0
4596,spam,Subject: Nhấn vào đây để nhận link tải game miễn phí!,0
4597,ham,Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!,1
4598,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
4599,spam,Subject: Khóa học miễn phí về cách kiếm tiền online!,0
4600,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
4601,spam,Subject: Cơ hội duy nhất: Mở tài khoản miễn phí và nhận quà!,0
4602,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
