ID;label;text;label_num
3641;spam;Subject: Nhận ngay tài liệu miễn phí cho kỳ thi sắp tới!;0
3642;ham;Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!;1
3643;spam;Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!;0
3644;spam;Subject: Nhấn vào đây để nhận thẻ tín dụng miễn phí!;0
3645;spam;Subject: Cơ hội trở thành chuyên gia trong một tháng!;0
3646;spam;Subject: Cơ hội trở thành chuyên gia trong một tháng!;0
3647;ham;Subject: Cảm ơn bạn đã tham gia vào chương trình sự kiện giải trí!;1
3648;spam;Subject: Bạn có thể học bất kỳ kỹ năng nào chỉ trong 7 ngày!;0
3649;spam;Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!;0
3650;spam;Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!;0
3651;ham;Subject: Giảm giá 20% cho lần mua sắm tiếp theo của bạn!;1
3652;spam;Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!;0
3653;ham;Subject: Hãy theo dõi sức khỏe của bạn với ứng dụng sức khỏe.;1
3654;ham;Subject: Chúng tôi đã gửi chứng nhận hoàn thành khóa học cho bạn.;1
3655;spam;Subject: Bạn đã trúng giải 1 triệu đồng! Nhấn vào đây để nhận!;0
3656;ham;Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!;1
3657;spam;Subject: Nhấn vào đây để biết bí quyết trẻ hóa da từ thiên nhiên!;0
3658;ham;Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.;1
3659;ham;Subject: Đừng bỏ lỡ khóa học trực tuyến miễn phí về lập trình!;1
3660;ham;Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.;1
3661;spam;Subject: Khóa học miễn phí về cách kiếm tiền online!;0
3662;spam;Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!;0
3663;ham;Subject: Đừng quên xem bộ phim mới ra mắt vào cuối tuần này!;1
3664;spam;Subject: Cơ hội trở thành diễn viên nổi tiếng từ một cuộc thi!;0
3665;spam;Subject: Nhấn vào đây để nhận thông tin về thuốc tăng cường sinh lý!;0
3666;spam;Subject: Bạn có thể giảm cân nhanh chóng với sản phẩm này!;0
3667;spam;Subject: Đừng bỏ lỡ: Chương trình học bổng 100%!;0
3668;ham;Subject: Giảm giá 20% cho lần mua sắm tiếp theo của bạn!;1
3669;ham;Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.;1
3670;spam;Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!;0
3671;ham;Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!;1
3672;ham;Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.;1
3673;spam;Subject: Nhấn vào đây để nhận thẻ tín dụng miễn phí!;0
3674;ham;Subject: Cảm ơn bạn đã mua hàng tại cửa hàng chúng tôi.;1
3675;ham;Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!;1
3676;ham;Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.;1
3677;spam;Subject: Cảm giác tuyệt vời khi có tiền trong tài khoản chỉ với 30 phút!;0
3678;ham;Subject: Thông báo: Tài khoản của bạn đã được kích hoạt.;1
3679;spam;Subject: Bạn có thể học bất kỳ kỹ năng nào chỉ trong 7 ngày!;0
3680;spam;Subject: Nhấn vào đây để nhận link tải game miễn phí!;0
3681;spam;Subject: Mua thuốc giảm cân với giá chỉ 99k!;0
3682;ham;Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.;1
3683;ham;Subject: Hãy kiểm tra lịch phát sóng chương trình yêu thích của bạn.;1
3684;spam;Subject: Đừng bỏ lỡ: Chương trình học bổng 100%!;0
3685;ham;Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.;1
3686;spam;Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!;0
3687;spam;Subject: Cơ hội trở thành diễn viên nổi tiếng từ một cuộc thi!;0
3688;ham;Subject: Hãy kiểm tra lịch phát sóng chương trình yêu thích của bạn.;1
3689;spam;Subject: Bạn có thể giảm cân nhanh chóng với sản phẩm này!;0
3690;ham;Subject: Chúng tôi đã gửi chứng nhận hoàn thành khóa học cho bạn.;1
3691;spam;Subject: Nhấn vào đây để biết bí quyết trẻ hóa da từ thiên nhiên!;0
3692;ham;Subject: Tài liệu học tập đã được cập nhật trên trang web.;1
3693;spam;Subject: Khóa học miễn phí về cách kiếm tiền online!;0
3694;ham;Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.;1
3695;spam;Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!;0
