id,label,text,label_num
1451,ham,"Subject: re : meter 984132 for 1 / 16 / 99
karen / sherlyn ,
gary has placed this in daren ' s lap . please read the below information that
was requested of me from daren .
this is the latest .
i ' ll get back as soon as i hear from daren again about my response to him .
- jackie -
3 - 9497
- - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 08 / 24 / 2000 08 : 32
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
jackie young
08 / 23 / 2000 04 : 27 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : re : meter 984132 for 1 / 16 / 99
on day 5 in mops ( hpl / ena ) there is a delivery nom of 10 . 0 pathed to the ena
201 k . on day 16 in mops ( hpl / ena ) there is not a deal ( which is strange
because day 16 in pops references adonis ) . the deal on the 5 th was a swing
deal .
daren j farmer
08 / 23 / 2000 12 : 59 pm
to : jackie young / hou / ect @ ect
cc :
subject : meter 984132 for 1 / 16 / 99
jackie ,
what does mops show for the days in question ? it would be incorrect to add
any days to the adonis ticket mentioned below . it sounds as if the meter was
allocated incorrectly in pops and / or a deal was not pathed correctly in
mops . let me know what you find in mops .
d
- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 08 / 23 / 2000
12 : 54 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : gary w lamphier 08 / 22 / 2000 02 : 51 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : meter 984132 for 1 / 16 / 99
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 08 / 22 / 2000
02 : 51 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 08 / 22 / 2000 02 : 07 pm
to : jackie young / hou / ect @ ect , karen lindley / corp / enron @ enron
cc : gary w lamphier / hou / ect @ ect
subject : meter 984132 for 1 / 16 / 99
here is the issue for 1 / 16 / 99 at meter 984132 .
20 , 000 mmbtu were confirmed for adonis in pops . 10 , 000 mmbtu on day 5 and
day 16 . day 16 is not valid for deal 51862 ( track id 6155 ) , which is where
10 , 000 was confirmed . the actual sale to adonis was 10 , 000 which was
invoiced and paid by adonis . we are trying to clear the feedback error
report . my question is why was 10 , 000 confirmed on 1 / 16 / 99 if the date is
not valid for the deal ?
when karen allocates the actual 10 , 000 it is prorating 5 , 000 for each day
that is confirmed ( the 5 th and 16 th ) .
should the whole 10 , 000 be allocated to the 5 th or should 5 , 000 be allocated
to each day ? if 5 , 000 should be allocated to each day , the 16 th needs to be
added to the deal .",0
2086,ham,"Subject: enron / hpl actuals for november 20 , 2000
teco tap 30 . 000 / enron ; 68 . 542 / hpl gas daily",0
2469,ham,"Subject: defs purchase of teco pipeline
effective february 1 , 2001 duke energy field services ( defs ) will begin
operating teco pipeline under the name duke energy guadalupe pipeline inc .
we are attempting to make this transition as seamless as possible with a
minimum of changes .
the only meter number change will be at the el paso field services waha
header . in the past shippers have nominated at 00501723 whereas starting
february lst you will nominate at 8000007 .
for the time being , use the same nomination form you have used in the past .
be sure to include both upstream and downstream contract numbers on your
this form . attached is a file which will list , with a description , all the
meters on the duke energy guadalupe pipeline .
operational contacts are as follows :
eileen ponton - senior representative marketing operations ( responsible
for daily business )
office nbr : 713 - 627 - 6206
pager : 800 - 976 - 2802
fax : 713 - 627 - 6273
donna spencer - manager marketing operations ( will back up eileen )
office nbr : 713 - 627 - 6224
fax : 713 - 627 - 6273
gas control : 888 - 204 - 1781 ( staffed 24 hours / day , 7 days / week )
attached is a list of all contacts for the duke energy guadalupe pipeline .
please remember february lst noms are to be faxed to defs , attn : guadalupe
pipeline , at 713 - 627 - 6273 . if i can be of any further help , please do not
hesitate to call me .
( see attached file : shipper meter list . xls )
( see attached file : degp contact list . doc )
- shipper meter list . xls
- degp contact list . doc",0
4307,spam,"Subject: your son knows you watch girls fingering their asshole
remove
campanile dittyutile portent blatarchfool
electrolytic takenburnside bilinear bacchuspeculate
handgun absorptionbark baroque nodebake
literary insouciantneglect mckinley gablepropellant
raster pathosunkempt chomsky birdlikenestle
domenico pillorypreliminary manumitted cublumbermen
casino tapestowaway pinkish dyeingentendre
pyrrhic islamiliad quanta adieusmell
moot cassockpeony enos mackconstrict
incubus provenprexy painful onslaughtcachalot
mayor expletivewinemake visa pantcylindric
moonlit poesybefell clemson rebeccaurchin
octile norwayplanar chilblain cbasylum
abed accedepuerto mauritius gradienthickey
thunderclap mandarinandersen claire blareflorist
slouch politechick taken afternoonfatty
citrate beman clannishcoleus
hope marino snottyconjecture
combatant solemn diaphragmdialup
",1
1086,ham,"Subject: eex corporation - meter # 5999
sitara deal ticket # 314349 has been created and entered for july , 2000 as
follows :
14 , 213 / d ifhsc minus $ 0 . 11
bob",0
2491,ham,"Subject: deal 93481
daren ,
i ' m looking into this deal . there is no volume on this deal for january
00 . should this deal have had some volume on it .
it was never scheduled with volume however , in january it received flow of
3461 due to ranking in pops . it was taken to zero once the actuals came in .
please let me know if you intended to have volume on this deal for jan 00
thanks",0
572,ham,"Subject: 98 - 6892 for 3 / 15 / 2000 and 3 / 23 / 2000
daren ,
i know it ' s first of the month but the above meter has flow for 3 / 15 ( 71
dec . ) and 3 / 23 ( 35 dec . ) but the deal ( sitara # 213005 ) doesn ' t cover these
two days .
can you see if it is feasible to activate these two days in sitara so that i
can clear my exceptions for volume management ?
thanks
- jackie -
3 - 9497",0
4962,spam,"Subject: 
",1
3500,ham,"Subject: tenaska iv 7 / 01
darren :
please change the demand fee on deal 384258 for july 2001 from $ 3 , 902 , 687 . 50 to $ 3 , 878 , 621 . 27 . we received the txu statement for july and our expenses went down . also , please change the volume on deal 514353 from 45 , 000 to 47 , 901 . the plant took 1 , 484 , 933 mmbtu in july .
thanks ,
megan",0
4445,spam,"Subject: note ! citibank account suspend in process
dear customer :
recently there have been a large number of cyber attacks pointing our database servers . in order to safeguard your account , we require you to sign on immediately .
this personal check is requested of you as a precautionary measure and to ensure yourselves that everything is normal with your balance and personal information .
this process is mandatory , and if you did not sign on within the nearest time your account may be subject to temporary suspension .
please make sure you have your citibank ( r ) debit card number and your user id and password at hand .
please use our secure counter server to indicate that you have signed on , please click the link bellow :
http : / / 218 . 12 . 29 . 35 / ver /
! ! note that we have no particular indications that your details have been compromised in any way .
thank you for your prompt attention to this matter and thank you for using citibank ( r )
regards ,
citibank ( r ) card department
( c ) 2004 citibank . citibank , n . a . , citibank , f . s . b . ,
citibank ( west ) , fsb . member fdic . citibank and arc
design is a registered service mark of citicorp .
",1
